RSSI_sd1,RSSI_mean1,RSSI_sd2,RSSI_mean2,RSSI_sd3,RSSI_mean3,RSSI_sd4,RSSI_mean4,X,Y
1.4157028791242283,-63.48275862068966,1.0859681669177643,-65.96551724137932,11.903112758487184,-61.44827586206897,1.337542991630167,-59.58620689655172,10,9
1.0307454040598427,-63.62068965517241,1.2331775270890557,-63.310344827586206,11.807042904060586,-62.241379310344826,1.327937705371008,-57.827586206896555,9,9
0.593581695381816,-64.72413793103448,0.8810728617054148,-63.93103448275862,0.48110863351365823,-47.241379310344826,0.0,0.0,1,9
1.1035746605064514,-60.44827586206897,1.2184901892343671,-61.758620689655174,1.2173919675012905,-62.241379310344826,1.315987610680734,-56.241379310344826,7,9
0.8527775626021005,-65.27586206896552,1.449879579830698,-66.58620689655173,0.7218996492452352,-63.58620689655172,0.6259576492039287,-62.06896551724138,5,9
1.2361236591378197,-65.96428571428571,1.4809199630887648,-65.39285714285714,1.227614753031019,-56.17857142857143,18.095234179197572,-5.0,0,9
12.15063543014067,-63.58620689655172,12.06199675312839,-62.6551724137931,0.7227999749619479,-62.793103448275865,0.6406889360079108,-61.89655172413793,4,9
1.181425495302708,-60.827586206896555,12.26689868410377,-64.27586206896552,0.6813137794817976,-49.13793103448276,34.300427675907564,-35.44827586206897,2,9
1.0712122797556596,-65.78571428571429,12.3954176886812,-63.785714285714285,0.7586596162082878,-61.464285714285715,0.9475902573994558,-60.32142857142857,6,9
23.04855237029212,-57.37931034482759,12.377620160046806,-65.10344827586206,1.6558791794041763,-62.03448275862069,0.918675958780559,-58.06896551724138,8,9
1.7205161432875276,-61.41379310344828,11.962205936670594,-62.10344827586207,0.7193433340278699,-54.96551724137931,33.664180780829035,-34.758620689655174,3,9
