A1_sd,A1_mean,A2_sd,A2_mean,A3_sd,A3_mean,A4_sd,A4_mean,x,y,a
0.9555928760918557,-61.16285052910054,1.3146638569797928,-64.25605158730158,1.305377351852118,-61.67438492063492,1.3017816240488906,-64.59986111111111,2,9,1
1.4182925048783013,-63.26872605363984,1.2015635295396778,-62.03118500273672,0.9374887034867064,-64.74950738916257,0.9100851996086617,-56.9109126984127,10,5,1
2.017317421024637,-62.14243197278911,1.8037261538784295,-62.03811649659864,0.7658981468111349,-58.982114512471654,1.193486991802058,-55.89846230158731,7,0,1
1.1052991919874984,-58.75079365079365,1.2705106639871067,-62.934488378684804,0.872228178327357,-59.65436507936509,1.1200348307254144,-62.82718962585034,3,8,1
2.534925921151273,-62.62828798185941,1.451717549528943,-62.88328373015872,1.5127855628606635,-58.429117063492065,1.102046565317528,-54.150892857142864,8,1,1
0.5855106512092066,-58.63479748221128,1.1610156444707234,-64.20525451559934,0.913016790957235,-58.36030377668309,1.171077857709159,-64.16782171201814,5,8,1
1.2837763694336406,-54.249931581828136,0.9675745998468436,-62.15615763546798,0.6288623625377363,-58.68400383141762,1.4411688286223074,-64.86111111111111,0,6,1
4.29339572250738,-59.971965020576135,0.3535533905932738,-66.25,1.848859536154832,-61.74068828680897,2.1284662326227592,-61.36742610837438,10,7,1
0.5130062370721586,-52.60297619047619,1.4489692529817368,-60.576636904761905,0.7386887017032536,-54.94295634920634,1.1877881415445162,-58.93110119047619,3,4,1
0.9013754510109764,-62.15395457033388,1.0084148169318332,-64.91005747126438,1.0910155681645688,-62.186945812807885,1.4521120170275272,-64.08768472906404,3,9,1
0.5845802597633702,-57.115462962962965,1.0442601866370977,-58.58217592592592,0.7356930244786183,-54.445,1.0192586594398871,-58.747314814814814,5,4,1
1.2388397526219923,-64.1824712643678,0.871726527661619,-63.93359126984127,0.5508000104921903,-61.22265873015873,1.3650031676667171,-55.32837962962963,6,0,1
1.144844220474883,-60.80698412698413,1.2046610589315845,-59.97899470899471,0.8928545651607873,-63.850714285714275,1.4478184796044062,-63.577301587301584,0,0,1
0.7625417881508773,-52.6227969348659,0.7138383588164675,-58.00886015325671,1.2079952275178716,-54.18908045977012,0.4546309167401042,-61.73638478379857,1,4,1
0.8916001074649653,-62.79935846560846,,-66.0,1.2820212183790884,-62.97263888888889,0.9953053846879681,-65.15636645962734,9,10,1
0.45817635259693634,-59.399312169312175,1.170368438168875,-63.801666666666684,1.3117513591601004,-61.10320105820106,0.7602294516063444,-59.394120370370366,6,7,1
0.41851738147271855,-58.35610119047619,1.19258664796555,-62.903543083900225,0.5818015234498916,-54.11736111111111,0.8135606099958067,-56.98516865079364,6,3,1
0.5062557761959309,-53.85474773242631,0.9579635878900971,-58.378323412698414,0.956035327668225,-54.8952380952381,2.607918506073365,-64.50974348072563,2,4,1
0.3730943618729714,-54.85895593869731,0.6010745018480469,-56.73486590038314,0.8877168398422235,-54.54286398467433,0.4324716356290544,-55.56139846743296,6,4,1
3.169649215096113,-61.78890306122448,1.557211316963469,-63.23542692939245,1.8289403238012298,-64.1997947454844,0.6030386314887664,-61.54924055829228,10,6,1
0.8371371462362593,-51.20009578544061,1.6215315498920766,-58.087951559934325,0.3263177335124572,-54.068151340996174,2.647564983559858,-62.964114668856034,3,5,1
0.7469725972664719,-58.134722222222216,1.2980448514724923,-57.6820197044335,0.4949386388800757,-52.0896551724138,0.8919765620535859,-59.59798850574713,4,2,1
0.7534329154301522,-58.61321839080461,1.1154550750279384,-61.8185002736727,1.2150735404713648,-57.608066502463046,0.7981792399770422,-56.44818007662836,7,5,1
2.2141710901939895,-63.031790123456794,1.0414965743267552,-63.4459017515052,0.8825442389966617,-58.68902572523262,0.43857374903828505,-55.58845785440612,6,1,1
0.8139493567478879,-53.21417624521073,1.3081456736855273,-60.0273535851122,0.5168212419439536,-55.038362068965526,0.7614671519104063,-59.731999178981944,2,5,1
